Year,Energy,Electricity/Heat,Transportation,Building,Manufacturing/Construction,Bunker Fuels,Industrial Processes,Other Fuel Combustion,Land-Use Change and Forestry,Fugitive Emissions
2018,696.13,310.35,158.3,120.82,99.33,34.9,13.41,7.33,-29.48,
2017,718.79,327.74,163.49,131.57,95.14,35.89,13.41,0.85,-29.48,
2016,734.49,345.94,161.02,133.2,93.22,34.82,12.66,1.1,-29.47,
2015,729.68,346.26,157.59,129.62,95.12,31.7,12.63,1.1,-29.24,
2014,724.59,350.25,154.57,125.79,91.25,31.39,12.9,1.25,-29.24,1.48
2013,765.13,369.74,152.37,146.58,93.81,32.37,12.5,1.16,-29.21,1.48
2012,746.73,365.16,148.51,136,94.25,32.66,13.29,1.22,-29.21,1.59
2011,732.99,354.26,149.94,128.46,97.18,31.7,13.39,1.4,-29.21,1.75
2010,760.49,361.68,148.12,149.39,98.35,32.74,12.43,1.31,-18.34,1.64
2009,722.1,343.1,147.06,142.64,86.87,32.9,12.56,0.52,-18.34,1.91
2008,775.97,371.06,148.89,153.55,99.87,34.34,13.58,0.52,-18.33,2.08
2007,769.15,392.57,148.38,129.44,96.05,34.27,14.45,0.58,-18.33,2.13
2006,800.82,379.51,153.48,168.22,96.66,31.79,13.34,0.82,-18.33,2.13
2005,789.12,375.8,155.63,159.66,94.77,30.32,13.05,1.07,-18.32,2.19
2004,806.76,379.48,163.99,163.12,97.07,29.18,14.07,0.97,-18.33,2.13
2003,823.04,384.22,164.04,172.83,98.57,27.25,13.51,1.03,-18.25,2.35
2002,820.36,378.73,167.12,165,95.84,26.06,12.82,11.21,-18.17,2.46
2001,834,377.21,169.54,177.11,96.44,25.58,13.5,11.19,-18.11,2.52
2000,814.83,364.01,173.47,161.02,102.74,26.31,15.25,11.07,-51.11,2.52
1999,817.58,359.05,177.66,164.5,101.69,25.04,15.77,12.06,-51.02,2.63
1998,847.6,374.12,172.81,176.3,106,23.85,15.54,17.71,-51.02,0.66
1997,855.63,374.14,169.8,184.41,108.2,23.57,15.27,18.37,-50.97,0.71
1996,887.94,389.99,169.06,199.23,110.52,22.5,14.81,18.27,-50.96,0.88
1995,857.53,379.36,167.93,177.61,116.64,22.22,15.56,15.06,-50.94,0.93
1994,860.47,384.92,166.04,176.05,117.94,22.16,15.34,14.16,-50.94,1.37
1993,872.48,384.36,168.67,188.15,117.55,21.31,14.53,13.09,-50.93,0.66
1992,878.31,392.66,164.06,179.91,124.78,19.13,14.44,16.19,-50.93,0.71
1991,918.63,409.3,161.48,195.2,133.61,19.33,13.74,18.05,-50.93,0.98
1990,940.01,411.76,158.6,197.26,156.15,21.26,15.3,16.23,-50.93,
